"filename", "language", "Docker", "JavaScript", "JavaScript JSX", "PostCSS", "XML", "Markdown", "JSON", "YAML", "Django HTML", "Ignore", "Python", "pip requirements", "comment", "blank", "total"
"d:\project\frontend\src\api\teacher.jsx", "JavaScript JSX", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 28
"d:\project\frontend\src\assets\react.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\project\frontend\src\components\SmallComponent\BuyNow.jsx", "JavaScript JSX", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"d:\project\frontend\src\components\SmallComponent\PricingCard.jsx", "JavaScript JSX", 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 80
"d:\project\frontend\src\components\UI\Footer.jsx", "JavaScript JSX", 0, 0, 189, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 11, 210
"d:\project\frontend\src\components\UI\Hero.jsx", "JavaScript JSX", 0, 0, 151, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 20, 184
"d:\project\frontend\src\components\UI\Navbar.jsx", "JavaScript JSX", 0, 0, 187, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 14, 209
"d:\project\frontend\src\components\UI\OverView.jsx", "JavaScript JSX", 0, 0, 224, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 17, 250
"d:\project\frontend\src\components\UI\Shared\PhoneNunberFinder.jsx", "JavaScript JSX", 0, 0, 308, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 27, 351
"d:\project\frontend\src\components\UI\Shared\PrincipleN.jsx", "JavaScript JSX", 0, 0, 480, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 29, 530
"d:\project\frontend\src\components\UI\Shared\Profile.jsx", "JavaScript JSX", 0, 0, 609, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 35, 673
"d:\project\frontend\src\components\UI\Sidebar\Library.jsx", "JavaScript JSX", 0, 0, 350, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 34, 395
"d:\project\frontend\src\components\UI\Sidebar\Nurse.jsx", "JavaScript JSX", 0, 0, 334, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 32, 377
"d:\project\frontend\src\components\UI\Sidebar\Teacher.jsx", "JavaScript JSX", 0, 0, 345, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 33, 389
"d:\project\frontend\src\context\Auth.jsx", "JavaScript JSX", 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 89
"d:\project\frontend\src\hooks\pageTitle.jsx", "JavaScript JSX", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"d:\project\frontend\src\index.css", "PostCSS", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 17
"d:\project\frontend\src\main.jsx", "JavaScript JSX", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"d:\project\frontend\src\pages\Contact.jsx", "JavaScript JSX", 0, 0, 175, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 187
"d:\project\frontend\src\pages\Export.jsx", "JavaScript JSX", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27
"d:\project\frontend\src\pages\Home.jsx", "JavaScript JSX", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"d:\project\frontend\src\pages\LMS\LABook.jsx", "JavaScript JSX", 0, 0, 306, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 43, 363
"d:\project\frontend\src\pages\LMS\LBookHistory.jsx", "JavaScript JSX", 0, 0, 666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 61, 756
"d:\project\frontend\src\pages\LMS\LDashboard.jsx", "JavaScript JSX", 0, 0, 427, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 33, 475
"d:\project\frontend\src\pages\LMS\LIBook.jsx", "JavaScript JSX", 0, 0, 593, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 48, 669
"d:\project\frontend\src\pages\LMS\LIR.jsx", "JavaScript JSX", 0, 0, 658, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 44, 716
"d:\project\frontend\src\pages\LMS\LMClass.jsx", "JavaScript JSX", 0, 0, 592, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 48, 670
"d:\project\frontend\src\pages\LMS\LRBook.jsx", "JavaScript JSX", 0, 0, 418, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 46, 473
"d:\project\frontend\src\pages\LMS\Layout.jsx", "JavaScript JSX", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"d:\project\frontend\src\pages\Layout.jsx", "JavaScript JSX", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"d:\project\frontend\src\pages\Login.jsx", "JavaScript JSX", 0, 0, 179, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 21, 207
"d:\project\frontend\src\pages\NMS\AddProduct.jsx", "JavaScript JSX", 0, 0, 228, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 25, 263
"d:\project\frontend\src\pages\NMS\NAddRecord.jsx", "JavaScript JSX", 0, 0, 518, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 52, 600
"d:\project\frontend\src\pages\NMS\NAllRecord.jsx", "JavaScript JSX", 0, 0, 508, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 44, 573
"d:\project\frontend\src\pages\NMS\NDash.jsx", "JavaScript JSX", 0, 0, 562, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 53, 636
"d:\project\frontend\src\pages\NMS\NLayout.jsx", "JavaScript JSX", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"d:\project\frontend\src\pages\NMS\TotalProduct.jsx", "JavaScript JSX", 0, 0, 586, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 51, 659
"d:\project\frontend\src\pages\Pricing.jsx", "JavaScript JSX", 0, 0, 130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 137
"d:\project\frontend\src\pages\TMS\Attandance.jsx", "JavaScript JSX", 0, 0, 561, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 63, 655
"d:\project\frontend\src\pages\TMS\AttandanceHistory.jsx", "JavaScript JSX", 0, 0, 415, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 41, 478
"d:\project\frontend\src\pages\TMS\AttandanceStudent.jsx", "JavaScript JSX", 0, 0, 455, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 46, 527
"d:\project\frontend\src\pages\TMS\TLayout.jsx", "JavaScript JSX", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"d:\project\frontend\src\routes\AuthRoute.jsx", "JavaScript JSX", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"d:\project\frontend\src\routes\ExportRoute.jsx", "JavaScript JSX", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"d:\project\frontend\src\routes\LibrianRoute.jsx", "JavaScript JSX", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"d:\project\frontend\src\routes\NurseRoute.jsx", "JavaScript JSX", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"d:\project\frontend\src\routes\PublicRoute.jsx", "JavaScript JSX", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"d:\project\frontend\src\routes\TeacherRoute.jsx", "JavaScript JSX", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"d:\project\frontend\tailwind.config.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 12
"d:\project\frontend\vite.config.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 24
"d:\project\test.md", "Markdown", 0, 0, 0, 0, 0, 168, 0, 0, 0, 0, 0, 0, 0, 49, 217
"Total", "-", 17, 60, 11893, 12, 1, 333, 3864, 16, 13, 20, 1388, 19, 592, 1647, 19875
